review,sentiment
"The movie is a riot - hilariously funny yet graphically violent. Just when you think you can't take any more it gives you more. Great thiller. The cast is excellent and the plot is very convincing. The past does indeed catch up with our hero, but right(?) prevails.",positive
"Well I just paid a dollar for a DVD of this movie, and it wasn't even worth that. It seems to be from a poor print and is in the public domain, I am guessing.<br /><br />Neagle - despite her glory, awards, and reputation - is a homely British gal who can't sing or dance or act.<br /><br />Some of the fine old Hollywood character actors on display here must have thought they were doing a classic. Director Herbert Wilcox (Neagle's husband) always thought Anna was the most exciting and talented femme on the screen. He was mistaken. She was improbably popular in Britain before and after WWII. Her ""serious"" roles are even more ludicrous than her musical appearance here.<br /><br />Only a couple of the famous songs are included and neither one is well presented. Skip this one and find the one that stars Doris Day. At least you get some real comedy and professional style dancing!",negative
"This movie was recommended to me by the same person that blessed me with a copy of The Chronicles of Narnia. Shadowlands is one of the most amazing screenplays ever written. It is well executed, acted and directed. The cinematography is a bit dark for my taste but I'm sure it was intended to be so. The screenplay is like poetry in portions of the movie, through out the movie I found myself taking pause to reflect on the comments just made on screen. This is a wonderful piece of cinema and I can only hope that more people will run across it and add reviews. Fair warning though this was a 6 tissue movie for me. Very touching. Very Heartfelt performances.",positive
"It seems the makers of this film had trouble deciding what their message really was. Consequently, they had even more trouble delivering it. They began by poorly describing principles of quantum physics which relate to sub-atomic particles. Having established a fuzzy picture of Heisenberg's Uncertainty Principle, they presented a barrage of talking heads who built a case of ridiculous logic intimating that every living person is an entity which follows the same quantum rules on a cosmic scale. Then there was a lot of talk about ideas upon which Stephen Covey and Tony Robbins have made their careers: positive thinking, interrupting bad patterns, always look on the bright side, etc. Next came a bit about how our brains can change our bodies through production of proteins: hormones which we more or less choose to create. If you are sad, you will create sad proteins. If you are happy, you will create happy proteins. It's just so simple, isn't it? Interwoven with our lessons we follow the fictitious life of Amanda, a photographer who pops anti-depressants and hates her thighs. The film makers slowly but surely were trying to get us all to say, ""Hey, Amanda, just cheer up!"" Why can't she cheer up? Obviously it's because the world is a BAD place where there is crime and poverty and religion, that's why. The conclusion of the film (which is basically the entire second half) brought on a barrage of contradiction. We are all a part of a whole energy where we are not beings, but a collective consciousness, but we are individuals who can change the world, but there are many of each of us because of all the different dimensions, but we can choose who we are, and we have a purpose to do good, but there is no god because there is nothing better than us, so there is no such thing as right and wrong, so there is no such thing as reward or punishment, so nothing good ever came out of religion, but we should still do good anyway, even though there is no such thing as bad and good because there is nobody to decide what that is, except for the fact that we each can make life good if we all meditate, and then crime will cease, and if we say nice things, our water will freeze into pretty shapes. Still with me? Good because there is more. According to Robert L. Park in his book ""Voodoo Science"", the whole meditation experiment put on by John Hagelin in Washington, D.C. was a farce, the numbers were doctored, and the murder rate was higher that year that any year before or since. And what about your positive attitude keeping you young and healthy? This was a message delivered by an older man who looked his age and a woman who was overweight.<br /><br />So does all this work or not? I was lucky enough to see the film at a theater where Betsy Chasse, one of the film's three directors (yes, three) fielded questions following the show. I call myself lucky because I had first-hand confirmation that these people don't know what they are talking about. Several of the questions asked by audience members had her so stumped that her husband, a chiropractor, had to step in and recite the answer. I finally had to leave when the discussion inevitably turned political, and everyone, including Ms. Chasse, began speculating as to how wonderful the world would be if only President Bush could see this movie.",negative
"The final film for Ernst Lubitsch, completed by Otto Preminger after Lubitsch's untimely death during production, is a juggling act of sophistication and silliness, romance and music, fantasy and costume dramatics. In a 19th century castle in Southeastern Europe, a Countess falls for her sworn enemy, the leader of the Hungarian revolt; she's aided by her ancestor, whose painted image magically comes to life. Betty Grable, in a long blonde wig adorned with flowers, has never been more beautiful, and her songs are very pleasant. Unfortunately, this script (by Samson Raphaelson, taken from an operetta by Rudolf Schanzer and E. Welisch) is awash with different ideas that fail to mesh--or entertain. The results are good-looking, but unabsorbing. *1/2 from ****",negative
"A message movie, but a rather good one. Outstanding cast, top to bottom. Interesting in that Bette Davis's plot line is essentially back story! The extremely negative reviews (name throwing at the screenplay/playwright, associating this somehow with extremely negative comments about 'Angles in America', etc. etc.) object to the movie being too preachy about Germany in WWII. Gosh, that is just a bit too sophisticated an understanding of morality for me.<br /><br />Theatrical and movie-making, and acting styles vary over time and of course 70 years later this particular movie would not be made in this way. Yes Casablanca is a better movie (I guess), but although made in the same year and both having Nazis in them, Casablanca is primarily a love story. The love story in this movie takes second seat to the spy plot--more of a thriller. Both have a rather large number of somewhat cheesy accents and wonderful character actors. The children ARE a bit tedious and could have been edited",positive
"I am so upset that ABC is giving up on yet another show that has the chance to be a real winner. This show is so good, the writing and storyline were great, an actual original idea for a show instead of another boring reality show. The casting was spectacular! Not only were the characters and actors right on, but these are a very talented set of actors. The concept and idea is really a new and cool idea for a TV show, many of us share this whole idea of ""connections"". I really love the characters of Steven, Laura, Whitney and Damien. But to be honest there is not one person connected to this show that I did not like, even those that only were in for a few episodes (Sheri Appleby for example). The acting and characters are so easy to like and so talented!!. I wish ABC had given this show more of a chance, and not interrupted the show midway, Also it was not advertised enough. Truly unfair!! to everyone!!. This show showed great promise. I for one will let ABC know how I feel and will keep sending emails to keep this show alive. Please join me, I know we can do it. It worked for Jerico. (By the way where is episode 13? I want that last show!). Please support this show and send emails to ABC,we can do it!!! This show is well worth it!!! PETITION ONLINE TO SAVE SIX DEGREES: http://www.PetitionOnline.com/gh1215/petition.html WE CAN DO IT!! SIGN THIS PETITION ASAP!!!",positive
"Jerry spies Tom listening to a creepy story on the radio and seizes the opportunity to scare his nemesis.<br /><br />I didn't find this particular episode that funny: the humour seemed rather constrained and the whole set up was kinda lame (Jerry is essentially the 'bad guy' in this one, tormenting poor Tom for no particular reason).<br /><br />There is the occasional flash of inspiration (such as Tom's literal 'heart in mouth' experience, and the moment when his nines lives are sucked out of his body), but, on the whole, this effort lacks the frenetic pacing, excellent animation and sheer wit of most of T&J's other cartoons.",negative
"This movie was childish in its writing and laughable in its visual effects. Scenes where Father Merrin is tossing in his bed and his glimpses of a gimpy native are signs of bad acting and poor imagination. Nothing seems to fit. The story jumps from scene to scene. The elementary writing leaves no fact to the imagination and leaves no room for suspense. The lady doctor at one point states that she thinks the town is going to ""explode soon"" from all the crazy happenings. There was, in fact, nothing in the movie to make that line relevant. From the terrible job the movie had done, I would have never known that there were any tensions in the village. If you are into cheesy movies go ahead and rent this, but if you want to see this done right check out Exorcist:The Beginning",negative
"I fell in love with Emily Watson in Breaking the Waves, then grew even more fascinated by her range and adeptness in Hilary and Jackie. Now comes this stunning portrayal of a rich girl who spurns breeding and convention in favor of mothering the tortured soul of the child of a man clearly in need of mothering. Her eyes are the mirror to his soul --and what gentle and beautiful eyes they are.<br /><br />Those who take things literally will find Marleen Gorris' poetic and allegorical direction quite frustrating. Romantics who are willing to go with the amazing kinetic energy is this filmed allegorical poem will be well rewarded.",positive
"I did not enjoy the film Eraser whatsoever. It's awful acting, boring storyline and average special effects made this an annoying arnie film, as it had a mountain of potential. With other action films of the time Eraser fell very short!!!",negative
"When I saw the preview, I thought: this is going to be a great movie. And indeed it could have been. The actress playing the main character was very credible, and the beauty of the filming is undeniable. However the dialogues cast a dark shadow on the whole picture. The level of language was too familiar and too contemporary for an action taking place in 1610, and it took away most of the magic of the film. However, I must congratulate the translator, because the English sub-titles were more refined and appropriate that the original French cues, and it probably explains the good rating the movie received on the imbd!",negative
"Many experienced and excellent actors mixed together in an ongoing plot of an untold part of world war II on the eastern front. Characters well portrayed and unforgettable. One episode leaves you wishing for the next. Pay attention to the closing credits were the thousands of Shtrafbat battalions are listed. An untold story involving hundreds of thousands of individuals. Sometimes brutal, sometimes romantic, always filled with real people and dialog. Produced with excellent sets and camera work. Heroes and villains, criminals and priests, patriots and traitors. Portrait of people struggling to survive and overcome a most terrible time. I wish to buy a copy for my own collection so to be able to enjoy the series repeatedly.",positive
"96 minutes of this is cruel..and I love the old Munster's. Yes, the plot is thing; yes the lines are trite; but whoever was at the helm of this was not a fan. There is so much 'intrigue' (and I use that word with great pause) that I wonder if it's an old Starsky & Hutch episode. I lost count of the number of times I noticed that makeup had missed a spot near the collar. Refusing to acknowledge that any time had passed since the mid-60's (ludicrous) the producers simply replace Marilyn & Eddie with younger actors. Why not let them grow and age? The addition of an Addam's Family style reunion does not add to the flavor of the Halloween Party.<br /><br />Grandpa & Herman fly to Transylvania and back in a few hours (preposterous.) Sid Ceaser is the most, yes the most unbelievable character (I am including the bad robots) since he babbles an unwild combination of gibberish & yiddish but claims to be an ancient Arabic ruler. And yes, it looks like the laugh track is missing. In fact, there are several spots where there is dead air, as if the laugh track was to be inserted later. The actors seem to wait on the faux audience. It's not laughable; it's sad. Oh, and the best part! Yvonne DeCarlo has a line that just goes to show you how out of touch the writers and producers were. Marilyn says something like: ""Where could Uncle Herman and Grandpa be? They could have been in an accident. They could have been hit by a car...or a train!"" Lily says responds with something like: ""You're Uncle Herman will be here if he has to drag himself off the train track."" What's amazing about this is: Yvonne DeCarlo's husband was a stuntman in the early 60's and lost a leg and was nearly killed in a train stunt. He never recovered and this financially devastated her family. (check out Biography's fantastic review of her life and career) This line could have been easily changed to be more sensitive to her.<br /><br />If you are a real fan of the Munster's then you'll have to RENT this mess. It illustrates how some things are better left alone. Even with the (nearly) original cast, this is almost as bad as the attempted remake of the show a few years ago.",negative
Kenneth Branagh shows off his excellent skill in both acting and writing in this deep and thought provoking interpretation of Shakespeare's most classic and well-written tragedy. Kenneth plays the role of Hamlet with such a distinct emotion that provokes tears. Kate Winslet's performance is also of great note.,positive
